id,viewCount,channelName,inputChannelUrl,likes,commentsCount,duration,date,title,numberOfSubscribers,commentsTurnedOff,comments,channelTotalViews
Sk5uBa68FAg,88000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,Deon Cole: Charleen’s Boy | Official Trailer | Netflix #shorts,26900000,,,"7,33,31,38,580"
2hpx5Qg-IrU,80000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,don't get bleeped on #glassonion,26900000,,,"7,33,31,38,580"
VOm9UojgiYI,96000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,Jen and Judy raised me #DeadToMe,26900000,,,"7,33,31,38,580"
KnBrW5GBVck,2400,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,"Meet Éile, an elite warrior from Raven Clan with the voice of a goddess ??",26900000,,,"7,33,31,38,580"
Ynoxw5zG4c8,2400,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,"Meet Fjall, a Dog Clan warrior sworn to protect the royal family of Xin’trea at all costs.",26900000,,,"7,33,31,38,580"
S96vKjKAkjo,2700,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,"Meet Scían, the last of Ghost Tribe ??",26900000,,,"7,33,31,38,580"
Hic17haH6jA,2000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,"Meet Brother Death. And more importantly, don’t get on the wrong side of those cleavers…",26900000,,,"7,33,31,38,580"
7w34_uELomU,316000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,the cast of Emily in Paris looking stunning in Paris,26900000,,,"7,33,31,38,580"
81xVqM27kQo,94000,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,Too Hot To Handle: Season 4 | Now Streaming | Netflix,26900000,,,"7,33,31,38,580"
13i6VtBQlHE,3700,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,,,,,"Meet Zacaré, an elven sage with great power, carrying an even greater loss…",26900000,,,"7,33,31,38,580"
pZBXBQLngTU,236099,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,7945,1019,01:06:59,11-06-2020,"OITNB X COLOR OF CHANGE: REFORM, SOLIDARITY, ACTION",26900000,FALSE,,"7,33,31,38,580"
rVP7IVk0btY,777124,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,47389,2355,11:55:01,17-08-2019,12 Hours of Dr. Alexei Slurping a Slurpee | Stranger Things | Netflix,26900000,FALSE,,"7,33,31,38,580"
nqExE6OguzI,268459,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,3789,445,00:01:35,18-08-2023,UNTOLD: Swamp Kings | Florida Gators | Official Teaser | Netflix,26900000,FALSE,,"7,33,31,38,580"
FzZ-iGLLCIE,147264,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,5354,295,02:18:00,30-06-2020,Full Replay: Netflix Pride 2020 presented by @most,26900000,FALSE,,"7,33,31,38,580"
16EoQqRQwJM,272975,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,3424,104,00:01:53,17-08-2023,Ehrengard: The Art of Seduction | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
5DtGyVjECPY,264239,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,3554,262,08:04:21,15-03-2019,LOVE DEATH + ROBOTS ?????? | Live Countdown | Mature Audiences Only | Netflix,26900000,FALSE,,"7,33,31,38,580"
BWmyVK09CZ4,364984,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,9174,244,00:01:40,17-08-2023,Surviving Summer Season 2 | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
_1wvmUXLAlA,38056,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,948,39,00:01:09,18-08-2023,Inside the World’s Toughest Prisons: Season 7 | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
it-8MIm29bI,83712,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,1231,66,00:01:38,16-08-2023,Live to 100: Secrets of the Blue Zones | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
_4YP-lD6R_M,237147,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,10286,598,00:02:32,17-08-2023,Disenchantment: The Final Season | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
Sy8xoNncAq8,1561043,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,39056,1452,00:48:21,21-05-2020,Joey King Reveals Kissing Booth 2 Release Date LIVE!,26900000,FALSE,,"7,33,31,38,580"
ijQrpzYp8t4,40968,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,423,90,00:02:04,16-08-2023,Tahir's House | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
8ChzVBC2-10,62637,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,2205,136,00:01:19,15-08-2023,Cut the Rope Daily | Om Nom Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
BeJuxMYhmEc,147421,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,2635,5644,00:01:55,16-08-2023,Heart of Invictus | Official Trailer | Netflix,26900000,FALSE,,"7,33,31,38,580"
ompoD7V42DM,2500342,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw/about,200584,8192,00:01:08,16-08-2023,Scott Pilgrim | Official Teaser | Netflix,26900000,FALSE,,"7,33,31,38,580"
